status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
M	100644	100644	a05c7c18684f6847a0971abd238202ddf943e044	2083cec191e7d86fa6e5032087d8e2563d1f7747	internal/types/chat.go	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	1dcbe88ac5ea5ef7475ee755c4de738b2a7e018b	internal/types/complimentary_entitlement_migration_contract_test.go	no	preserve-local-addition
M	100644	100644	23389980505cce78a253a7f04103d3f18619b08e	a41ba845ed2904454b825276f2048fa5aea0fb72	internal/types/config_redaction.go	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	d120c03f2cb0c302b64b8bc2151c378addd208ff	internal/types/consumer_plan_storage_migration_contract_test.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	d2829694bd74b2d58e44daa0e04375f80c113633	internal/types/consumer_scene.go	no	preserve-local-addition
M	100644	100644	914e6b2872e1d03a077059b5acbd9919b72c64f2	f4a96ff3005427b156e940e0b5d70b323bb10c46	internal/types/datasource.go	yes:M	three-way-preserve-musuw
M	100644	100644	65be745a1a01db8005de5ab54cc32331001544ef	b670f3a148c829187389c1556f117a76ba9a1d97	internal/types/datasource_test.go	no	preserve-local-modification
A	000000	100644	0000000000000000000000000000000000000000	7bb607fade67ec0024766ef3021ac520d6bf47b8	internal/types/entitlement.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	5eb63435f76d625247470fa10d7f614554e1ba8f	internal/types/entitlement_test.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	e66ba44cf3db04c9623a9b9ecde72a6cf47cb035	internal/types/interfaces/account_erasure.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	a866b14ffbe32f4b0bc0d0af43d6638deee056ce	internal/types/interfaces/consumer_model_resolver.go	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	0b6f00883f3701fa4b6d3b237a761ab37420c467	internal/types/interfaces/entitlement.go	no	preserve-local-addition
M	100644	100644	d615c8bb37b3e1980abbfa4372abd6276c421bea	4392610ef7cec7d4c22f2ca5e4ce97e423a141c3	internal/types/interfaces/knowledge.go	yes:M	three-way-preserve-musuw
M	100644	100644	20e9fe377780b1c7b9405d18f910d8ac59db7850	c3f191e6ca2de4819af3dab78bedec7cb16990a5	internal/types/interfaces/knowledgebase.go	no	preserve-local-modification
A	000000	100644	0000000000000000000000000000000000000000	6040d18302e31d7abafce8470bb2b7b7d59523c1	internal/types/interfaces/paddle_billing_operation.go	no	preserve-local-addition
M	100644	100644	15e6d2b7e206be42acecd2afb715f9a94d2de309	0d4a8cb4ccac5160d2bd37705edd3a69efab958d	internal/types/interfaces/tenant.go	yes:M	three-way-preserve-musuw
M	100644	100644	1633fda46ab2f62d4e45a9c770f047b55f691358	07c6c0172332cb336918be897661a0e2a5cfc3dd	internal/types/interfaces/user.go	yes:M	three-way-preserve-musuw
M	100644	100644	2133997ac4e67847f978b3586d70d7a5cae683c8	61dcc158cbf55cc98e635615fda757d15d62e650	internal/types/knowledge.go	yes:M	three-way-preserve-musuw
M	100644	100644	6ca36ac381429dd276b38ef2b7f6c375f3b395b0	b026b064bda58315a953956d4a89125adb8bfdc1	internal/types/knowledgebase.go	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	543bf091c36ad06a75a38f26b1d830635d190ac1	internal/types/knowledgebase_platform_defaults_test.go	no	preserve-local-addition
