status	base_mode	target_mode	base_blob	target_blob	path	local_change	default_decision
M	100644	100644	e160c2c7d1e2c585d8abff6d0a19206c50871a58	f08432d94bf32320d15cf11740aba88ee1bd3bc1	cli/internal/mcp/tools.go	no	adopt-upstream
M	100644	100644	53aa2fa2fdb68249b132b3a672de1f98cc1846ee	96eebe252e878d4cae485aab0a9207cd46cd4f19	cli/internal/mcp/tools_test.go	no	adopt-upstream
M	100755	100755	068bd0f3c5752460c49b0dfbccb1c7ccc9132f5b	c3eb588d1f08cd2fc2cc701328fb3fe08c2f62bf	cli/scripts/check-skill-wire-vocab.sh	no	adopt-upstream
M	100644	100644	230ab29d867d8e5339eb0a03fcdfc9a01f17d7f4	7b1c0456fdd4471ff016003d3a3d86b5092e7601	client/README.md	no	adopt-upstream
M	100644	100644	cd7ae962fc2f495803108367be95e61c2c0b1eee	2527fe2a69b97deb86839c446f7a2f81342606ae	client/README_EN.md	no	adopt-upstream
M	100644	100644	ccc9ee8407506811d64f4d61077d95cd532cd7e2	dc6d64f0e5f2cb516a88de7159575f391b4d91a1	client/agent.go	no	adopt-upstream
M	100644	100644	f1d482e14ee761d280df99de7778eaede2781262	c22f6178a023d7ca107d5dff1c63d8bd26a38705	client/auth.go	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	df9eb3be361da2f19183b266d10b66aa8a292551	client/env_var.go	no	adopt-upstream
M	100644	100644	3e11578b367144e02e7c5d75d1beb7895aff89cd	e4de9205ec81dedd19176158e6874c9dc2085f2d	client/initialization.go	no	adopt-upstream
M	100644	100644	0561e1b34c24374baa2feb011f463dcd3d9042cf	dbf2186f9de5e8fe70353fae16c3a50bc2a16763	client/knowledgebase.go	no	adopt-upstream
M	100644	100644	442fae4881002bfcd890c95d4cb22891286f6349	57f3adb5fea93761419d2b6f25ba0950536f4983	client/resource_urls.go	no	adopt-upstream
M	100644	100644	11655fe1ffc40aa1de22ef7b64dd4bb678253223	7555ac072e1534dab22f13ba06e646f9ca8080a8	client/skill.go	no	adopt-upstream
M	100644	100644	e65386a0ce1dedc17c82c06a4de454b8edaf3c92	4780b1e436ba5240e35849a5133c469e9a78be7b	client/system.go	no	adopt-upstream
M	100644	100644	5afd8f9e8172102a63850f81137414403e6701c9	7c0c31ac31071f00ce8c09c1c3383097e7f863e1	client/tenant.go	yes:M	three-way-preserve-musuw
M	100644	100644	22b0ce52767d37344fe5eb52bbd892cc0665c819	9a9ea5a184e8fd8c8d3190aac759f90f0f654c9c	config/builtin_agents.yaml	yes:M	three-way-preserve-musuw
